0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
5,4,5,4,5,3,5,6,4,2,3,3,3,2,5,6,3,4,6,2,4,4,3,3,3,4,3,4,4,4
6,4,5,4,5,4,5,6,4,2,3,3,3,2,5,6,3,4,6,2,4,4,3,3,3,4,3,4,4,4
6,4,5,4,5,4,5,6,4,2,3,3,3,2,5,6,3,4,6,2,4,4,3,3,3,4,3,4,4,4
6,4,5,4,5,4,5,6,4,2,3,3,3,2,5,6,3,4,6,2,4,4,3,3,3,4,3,4,4,4
6,5,6,4,5,4,5,6,4,2,3,3,3,2,5,6,3,5,6,2,4,4,4,3,3,4,3,4,4,4
6,5,6,4,5,4,5,6,4,2,3,3,3,2,5,6,3,5,6,2,4,4,4,3,3,4,3,4,4,4
7,5,6,5,6,4,5,6,4,2,3,4,3,2,5,6,3,5,6,2,4,4,4,3,3,4,3,4,5,4
8,5,7,5,6,5,6,6,4,2,3,4,3,2,6,6,3,5,6,2,4,4,4,3,3,4,3,4,5,4
8,5,7,5,6,5,6,6,4,2,3,4,3,2,6,6,3,5,6,2,4,4,4,3,3,4,3,4,5,4
8,5,7,5,6,5,6,6,4,2,3,4,3,2,6,6,3,5,6,2,5,4,4,3,3,4,3,5,5,4
8,5,7,5,6,5,6,6,5,2,3,5,3,2,6,6,3,5,6,6,5,4,4,3,3,4,3,5,5,4
8,6,8,6,6,5,6,6,6,2,4,5,3,2,6,6,4,5,6,6,5,4,4,3,3,5,3,5,5,4
8,6,8,6,6,5,6,6,6,2,5,5,3,2,6,6,4,5,6,6,5,4,4,3,3,5,3,5,5,4
8,6,8,6,6,5,6,6,6,2,5,5,3,2,6,6,4,5,6,6,5,4,4,3,3,5,3,5,5,4
7,6,8,6,6,5,6,6,6,2,5,5,3,2,6,6,4,5,6,6,5,4,4,3,3,5,3,5,5,4
6,6,8,6,6,5,6,6,6,2,5,5,3,2,6,6,4,5,6,6,5,4,4,3,3,5,3,5,5,4
6,6,8,7,6,6,6,6,6,3,5,6,3,3,6,6,4,5,6,6,5,4,4,3,3,6,3,5,5,4
6,6,8,7,6,6,7,6,6,3,5,6,3,3,6,6,4,5,6,6,6,4,4,3,3,6,3,5,5,5
6,6,8,7,6,7,7,6,6,3,5,6,3,3,6,6,4,5,6,2,6,4,4,3,3,5,3,5,5,5
6,7,8,7,6,7,7,6,6,3,5,5,3,3,6,6,4,5,6,2,6,4,4,3,3,5,3,5,5,5
6,6,8,7,6,6,6,6,6,3,5,6,3,3,6,6,4,5,6,6,5,4,4,3,3,6,3,5,5,4
6,6,8,7,6,6,7,6,6,3,5,6,3,3,6,6,4,5,6,6,6,4,4,3,3,6,3,5,5,5
6,6,8,7,6,7,7,6,6,3,5,6,3,3,6,6,4,5,6,2,6,4,4,3,3,5,3,5,5,5
6,7,8,7,6,7,7,6,6,3,5,5,3,3,6,6,4,5,6,2,6,4,4,3,3,5,3,5,5,5
6,7,8,7,7,8,6,6,6,3,5,5,4,3,6,5,4,4,6,3,7,6,4,3,3,5,3,5,6,5
