average,max,min,sum
5.48,6,3,137
0.36,1,0,9
2.12,3,1,53
3.08,5,1,77
1.04,2,1,26
0.76,2,0,19
3.72,4,3,93
3.96,4,3,99
1.52,2,1,38
2.72,3,2,68
4.4,5,4,110
3.52,5,2,88
0.36,1,0,9
2.96,5,2,74
2.08,4,2,52
2.16,3,1,54
1.4,2,1,35
1.0,1,1,25
2.8,4,2,70
1.0,1,1,25
2.64,3,2,66
2.8,4,2,70
5.12,6,3,128
2.28,3,2,57
2.92,4,2,73
2.96,4,2,74
3.36,6,1,84
3.88,5,3,97
4.0,4,4,100
3.16,4,2,79
