Type,Test,countmaxDOWN,countmaxIN_SEARCH,countmaxUP,countminDOWN,countminIN_SEARCH,countminUP,countmeanDOWN,countmeanIN_SEARCH,countmeanUP,countvarDOWN,countvarIN_SEARCH,countvarUP,indexmin,indexmax,indexmean,minminmin,minminmax,minminmean,minmaxmin,minmaxmax,minmaxmean,minmeanmin,minmeanmax,minmeanmean,maxminmin,maxminmax,maxminmean,maxmaxmin,maxmaxmax,maxmaxmean,maxmeanmin,maxmeanmax,maxmeanmean,meanminmin,meanminmax,meanminmean,meanmaxmin,meanmaxmax,meanmaxmean,meanmeanmin,meanmeanmax,meanmeanmean,"('lostPackets', 'sum')","('lostPackets', 'mean')","('timesForwarded', 'sum')","('timesForwarded', 'max')","('timesForwarded', 'mean')","('timesForwarded', 'var')",entopy_input,min_input,max_input,mean_input,var_input,entopy_output,min_output,max_output,mean_output,var_output,min_diff,max_diff,mean_diff,var_diff,entopy_normolized,min_normolized,max_normolized,mean_normolized,var_normolized,src_count,dst_count
bh_0_1000,0,1339.0,1.0,1621.0,11.0,1.0,594.0,428.5652173913044,1.0,847.68,217711.07509881424,,104591.14333333333,0,60,30,1,1,1.0,7,13,10.032786885245901,2.0303030303030303,5.653846153846154,3.4914096203750864,1,1,1.0,8,13,10.80327868852459,2.3714285714285714,5.730769230769231,3.7787720337590716,1.0,1.0,1.0,7.0,13.0,10.040983606557377,2.1515455304928985,5.661538461538461,3.599379337067565,205,0.5189873417721519,586,147,1.4835443037974683,142.45340872582426,1.347011690669548,3.0,232.0,50.89655172413793,1650.725952813067,1.3138734220977948,1.0,231.0,50.89655172413793,2178.86630369026,-123.0,38.0,0.0,476.3859649122807,1.4344586094701732,1.0,162.0,124.0,476.3859649122807,2230,2125
bh_0_1000,1,523.0,2.0,755.0,3.0,1.0,497.0,214.2608695652174,1.1111111111111112,596.52,36390.4743083004,0.1111111111111111,5553.926666666666,61,121,91,0,1,0.9672131147540983,1,11,6.983606557377049,1.0,4.642857142857143,2.4396574289199067,0,1,0.9836065573770492,1,11,7.19672131147541,1.0,4.714285714285714,2.541680436379986,0.0,1.0,0.9713114754098361,1.0,11.0,7.001725625539258,1.0,4.698979591836734,2.481073768319413,103,0.4660633484162896,367,97,1.660633484162896,104.17976141505551,0.6285551170685645,1.0,1785.0,98.79545454545455,136802.72463002114,0.6180034976861898,1.0,1790.0,98.22727272727273,137272.9704016913,-36.0,74.0,0.5681818181818182,215.08826638477805,1.4142515906739779,1.0,111.0,37.56818181818182,215.08826638477805,4042,3963
bh_0_1000,10,436.0,1.0,748.0,4.0,1.0,502.0,198.17391304347825,1.0,585.4,26534.877470355736,,4608.750000000002,122,182,152,0,1,0.9836065573770492,4,10,7.344262295081967,1.4444444444444444,3.8181818181818183,2.244805900486094,1,1,1.0,4,10,7.409836065573771,1.5,3.8181818181818183,2.2888464401992468,1.0,1.0,1.0,4.0,10.0,7.398486759142497,1.4548611111111112,3.8181818181818183,2.2705605829041082,64,0.3516483516483517,630,174,3.4615384615384617,395.38801529961756,1.3449287117502782,2.0,114.0,31.0,538.1666666666666,1.3332582223390215,1.0,98.0,30.571428571428573,552.0,-34.0,37.0,0.42857142857142855,252.04166666666666,1.3990030857865776,1.0,72.0,35.42857142857143,252.0416666666667,768,677
bh_0_1000,100,264.0,,755.0,5.0,,535.0,116.95652173913044,,596.36,3456.7707509881425,,3334.4066666666718,183,243,213,1,1,1.0,4,12,7.672131147540983,1.4090909090909092,4.571428571428571,2.3125756923801637,1,1,1.0,4,12,7.868852459016393,1.5454545454545454,4.571428571428571,2.3719041749049867,1.0,1.0,1.0,4.0,12.0,7.688524590163935,1.4236363636363636,4.571428571428571,2.3247015429357205,82,0.40594059405940597,280,59,1.386138613861386,57.79045367223288,1.381463603763878,6.0,103.0,32.28888888888889,377.1191919191919,1.3487569929510737,2.0,96.0,31.955555555555556,541.679797979798,-62.0,53.0,0.3333333333333333,387.4090909090908,1.4205623883644836,1.0,116.0,63.333333333333336,387.40909090909093,1093,1023
bh_0_1000,101,376.0,,711.0,5.0,,541.0,247.69565217391303,,600.32,19228.039525691696,,3274.143333333334,244,304,274,1,1,1.0,4,10,6.836065573770492,1.5909090909090908,4.111111111111111,2.168607674597824,1,1,1.0,4,10,6.852459016393443,1.5909090909090908,4.111111111111111,2.19981041270494,1.0,1.0,1.0,4.0,10.0,6.849180327868853,1.5909090909090908,4.111111111111111,2.1807865979456715,46,0.14465408805031446,436,117,1.371069182389937,88.98490169235954,1.3515942822514775,2.0,85.0,31.38888888888889,492.3930817610063,1.3220607117415273,1.0,106.0,30.90740740740741,666.6139063591895,-46.0,38.0,0.48148148148148145,269.0090845562543,1.417934180282262,1.0,85.0,47.48148148148148,269.0090845562543,1157,1075
bh_0_1000,102,379.0,,684.0,5.0,,502.0,125.72727272727273,,573.0,11983.445887445887,,2832.1666666666683,305,365,335,1,1,1.0,5,10,7.983606557377049,1.4615384615384615,4.2727272727272725,2.521319484152754,1,1,1.0,5,10,7.983606557377049,1.5384615384615385,4.2727272727272725,2.538083034288633,1.0,1.0,1.0,5.0,10.0,7.983606557377049,1.4923076923076921,4.2727272727272725,2.525017162365581,86,0.31851851851851853,638,147,2.362962962962963,250.96813988709903,1.3769833447046587,3.0,123.0,40.254901960784316,619.1937254901961,1.3568137257327617,2.0,129.0,39.86274509803921,796.8407843137254,-91.0,48.0,0.39215686274509803,496.9631372549021,1.428435606755557,1.0,140.0,92.3921568627451,496.9631372549021,1304,1275
bh_0_1000,103,408.0,1.0,705.0,1.0,1.0,523.0,207.17391304347825,1.0,624.44,19747.422924901184,0.0,2663.4233333333345,366,426,396,0,1,0.9836065573770492,4,10,6.622950819672131,1.4782608695652173,4.0,2.114280691857628,1,1,1.0,4,10,6.737704918032787,1.5,4.2727272727272725,2.1820790708913123,1.0,1.0,1.0,4.0,10.0,6.704757312761169,1.5,4.208333333333333,2.167098985236491,112,0.5333333333333333,225,78,1.0714285714285714,50.545112781954884,1.3200182420112752,2.0,92.0,25.391304347826086,450.1545893719807,1.292993429075802,2.0,98.0,24.26086956521739,530.9082125603867,-23.0,42.0,1.1304347826086956,212.47149758454105,1.3753336222781942,1.0,66.0,25.130434782608695,212.47149758454105,805,705
bh_0_1000,104,262.0,,638.0,7.0,,495.0,114.26086956521739,,541.64,5138.019762845849,,1670.8233333333335,427,487,457,1,1,1.0,3,9,6.016393442622951,1.3157894736842106,3.4545454545454546,2.0427865271137877,1,1,1.0,3,9,6.016393442622951,1.3157894736842106,3.4545454545454546,2.0533589060057116,1.0,1.0,1.0,3.0,9.0,6.016393442622951,1.3157894736842106,3.4545454545454546,2.0460698814119618,92,0.6764705882352942,594,192,4.367647058823529,576.7527233115469,1.3351750704042333,2.0,120.0,30.288888888888888,559.619191919192,1.3140820538890077,1.0,104.0,29.25,582.0058139534884,-31.0,38.0,1.6818181818181819,179.7103594080338,1.4019459147430597,1.0,70.0,33.68181818181818,179.7103594080338,522,461
bh_0_1000,105,264.0,1.0,669.0,12.0,1.0,546.0,107.82608695652173,1.0,592.64,6555.059288537549,,1174.6566666666654,488,548,518,0,1,0.9836065573770492,2,9,5.918032786885246,1.1111111111111112,2.4444444444444446,1.668513978746558,0,1,0.9836065573770492,3,9,6.081967213114754,1.1666666666666667,2.4444444444444446,1.6847845311258245,0.0,1.0,0.9836065573770492,2.9166666666666665,9.0,6.064207650273224,1.162037037037037,2.4444444444444446,1.679877019422368,115,0.41818181818181815,432,122,1.5709090909090908,137.55973457199738,1.2426344024480007,3.0,347.0,45.895833333333336,4107.116578014185,1.2297064326047227,1.0,353.0,45.8125,4209.176861702128,-69.0,46.0,0.08333333333333333,346.37588652482265,1.4257959764895691,1.0,116.0,70.08333333333333,346.3758865248227,1643,1568
bh_0_1000,106,192.0,,634.0,6.0,,544.0,105.0,,590.8,3287.2727272727275,,711.8333333333335,549,609,579,1,1,1.0,1,11,5.377049180327869,1.0,2.6666666666666665,1.5169767205872118,1,1,1.0,1,11,5.377049180327869,1.0,2.6666666666666665,1.5187023461264697,1.0,1.0,1.0,1.0,11.0,5.377049180327869,1.0,2.6666666666666665,1.5176009525531176,74,0.44047619047619047,330,147,1.9642857142857142,218.57356715141134,1.346762278185181,3.0,61.0,26.6046511627907,322.53045404208194,1.3123618873735752,1.0,75.0,24.930232558139537,406.7331118493909,-39.0,26.0,1.6744186046511629,137.843853820598,1.4241161760809262,1.0,66.0,41.674418604651166,137.843853820598,611,533
