Type,Test,countmaxDOWN,countmaxUP,countminDOWN,countminUP,countmeanDOWN,countmeanUP,countvarDOWN,countvarUP,indexmin,indexmax,indexmean,minminmin,minminmax,minminmean,minmaxmin,minmaxmax,minmaxmean,minmeanmin,minmeanmax,minmeanmean,maxminmin,maxminmax,maxminmean,maxmaxmin,maxmaxmax,maxmaxmean,maxmeanmin,maxmeanmax,maxmeanmean,meanminmin,meanminmax,meanminmean,meanmaxmin,meanmaxmax,meanmaxmean,meanmeanmin,meanmeanmax,meanmeanmean,"('lostPackets', 'sum')","('lostPackets', 'mean')","('timesForwarded', 'sum')","('timesForwarded', 'max')","('timesForwarded', 'mean')","('timesForwarded', 'var')",entopy_input,min_input,max_input,mean_input,var_input,entopy_output,min_output,max_output,mean_output,var_output,min_diff,max_diff,mean_diff,var_diff,entopy_normolized,min_normolized,max_normolized,mean_normolized,var_normolized,src_count,dst_count
100,0,2,37,2,32,2,35,0,5,0,5,2.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,1,2,37,2,32,2,35,0,5,6,11,8.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,10,2,37,2,32,2,35,0,5,12,17,14.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,11,2,37,2,32,2,35,0,5,18,23,20.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,12,2,37,2,32,2,35,0,5,24,29,26.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,13,2,37,2,32,2,35,0,5,30,35,32.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,14,2,37,2,32,2,35,0,5,36,41,38.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,15,2,37,2,32,2,35,0,5,42,47,44.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,16,2,37,2,32,2,35,0,5,48,53,50.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,17,2,37,2,32,2,35,0,5,54,59,56.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
